id_marca,nombre,ano_creacion,categoria,ciudad_base,disponibilidad,precios_promedio,seguidores_ig,seguidores_tt,engagement_redes
1,Palida studios,2019,"Streetwear, urbano","Nezahualcoyotl, Estado de México",Ambos,750.00,12400,1914,4.51
2,Tony Delfino,2008,"Casual, Urbano, Streatwear","Ciudad de México, Centro",Ambos,1100.00,114000,1870,4.22
3,Wavy,2021,"Streatwear, urbano",Ciudad de México,Ambos,700.00,10000,23000,3.92
4,Egoista,2022,"Streatwear, urbano, alternativo","Ecatepec, Estado de México",Ambos,600.00,24500,34600,0.00
5,Laminero,2022,Streatwear,Ciudad de México,Online,700.00,624,2717,0.00
6,Resurrected666,2021,Alternativo,Ciudad de México,Online,900.00,10700,29400,0.00
7,Extasis Studio,2020,"Alternativo, Streatwear",Ciudad de México,Ambos,800.00,1795,926,0.00
8,Sacrifice,2012,"Streatwear, Black and White",Ciudad de México,Ambos,850.00,52100,1880,0.00
9,Tanamachi,2019,"High Fashion, Streatwear",Ciudad de México,Ambos,2300.00,16000,1175,0.00
10,EUTANASHYA CORP,2017,"Streatwear, Alternativo",Ciudad de México,Ambos,1900.00,8360,285,0.00
11,MUSMIN,2019,"Slow Fashion, Streatwear, Girls",Ciudad de México,Ambos,2600.00,8280,255,0.00
12,Cheese Co.,2020,Streatwear,Ciudad de México,Ambos,750.00,5105,3915,0.00
13,Unreal Youth,2019,"Slow Fashion, Streatwear",Ciudad de México,Ambos,1750.00,14400,725,0.00
14,Bago Studio,2021,"Slow Fashion, Streatwear, Bags",Ciudad de México,Online,1850.00,11000,1550,0.00
15,PORTA + CANDA,2020,"Handbags, Slow Fashion",Ciudad de México,Ambos,2300.00,4870,612,0.00
16,VANEBON,2020,"High Fashion, Slow Fashion",Ciudad de México,Ambos,5284.00,16800,1893,0.00
17,SIXTUS,2022,Streatwear,"Ecatepec, Estado de México",Online,500.00,1225,160,0.00
18,SIEMPRE GANA,2022,Streatwear,Ciudad de México,Ambos,950.00,7555,6404,0.00
19,THE TEE CULT,2020,Bootleg Merch,Ciudad de México,Online,780.00,2880,400,0.00
20,CAN1CHE,2025,"Custom, Slow Fashion",Ciudad de México,Online,1900.00,5440,7465,0.00
21,J2Y,2023,"Slow Fashion, Streatwear","Nezahualcoyotl, Estado de México",Online,800.00,12000,4870,0.00
22,MACHINA,2012,"High Fashion, Wearable Technology","Texcoco, Estado de México",Ambos,2800.00,28200,981,0.00
23,Hechizas,2020,"Bootleg Merch, Original Bootleg, Streatwear",Ciudad de México,Online,900.00,3472,0,0.00
24,kat._.chi,2021,Streatwear,Ciudad de México,Ambos,800.00,5970,417,0.00
25,EDEN BLOOD SUPPLY.,2022,Streatwear,"Nezahualcoyotl, Estado de México",Online,600.00,1521,72,0.00
26,Suabebe,2019,Streatwear,"Nezahualcoyotl, Estado de México",Online,900.00,4233,0,0.00
27,DENJS,2018,"Slow Fashion, Streatwear",Ciudad de México,Ambos,1550.00,5683,9765,0.00
28,Malecho,2022,"Streatwear, Slow Fashion, 1:1",Ciudad de México,Online,900.00,595,0,0.00
29,ESE CHICO,2023,Streatwear,"Nezahualcoyotl, Estado de México",Ambos,820.00,6256,0,0.00
30,Estudio Hada,2023,"Hand Bags, Slow Fashion","Monterrey, Nuevo Leon",Online,1380.00,918,60,0.00
31,RAZZA,2020,Handmade Jewerly,Ciudad de México,Ambos,2900.00,1261,129,0.00
32,INDUSTRIAL,2019,Streatwear,Ciudad de México,Online,900.00,5810,0,0.00
33,CUEVA,2020,Slow Fashion,Ciudad de México,Ambos,2600.00,20800,1936,0.00
34,Twenty Two,2023,"Streatwear, Slow Fashion",Ciudad de México,Online,900.00,237,0,0.00
35,SELF INDULGENCE,2024,Slow Fashion,Ciudad de México,Ambos,1460.00,1714,0,0.00
36,EMFO,2021,"Slow Fasion, Black",Ciudad de México,Online,1900.00,5338,4341,0.00
37,TERNURX,2023,"Slow Fashion, Girls",Ciudad de México,Online,1240.00,537,104,0.00
38,Penas,2023,Jewelry,Ciudad de México,Ambos,3900.00,8751,0,0.00
39,Krystal Paniagua,2020,"High Fashion, Slow Fashion",Ciudad de México,Ambos,6000.00,14400,327,0.00
40,Scent,2016,Slow Fashion,Ciudad de México,Ambos,3400.00,9682,0,0.00
41,GRIEVE.MX,2019,"High Fashion, Slow Fashion",Ciudad de México,Ambos,4516.00,7316,0,0.00
42,Tierramala,2019,"Streatwear, Casual",Ciudad de México,Online,920.00,8955,398,0.00
43,Tarantella,2020,"Slow Fashion, Girls","Monterrey, Nuevo León",Online,1480.00,4717,170,0.00
44,relicoftheeast,2021,Jewelry,Ciudad de México,Ambos,2900.00,2917,0,0.00
45,Tlacuache Muerto,2019,"Slow Fashion, StreatweR",Ciudad de México,Ambos,840.00,7621,1990,0.00
46,Bodega Slasher,2019,"Streatwear, Slow Fashion",Ciudad de México,Online,1322.00,4857,576,0.00
47,Pangrama,2023,Slow Fashion,Ciudad de México,Online,1990.00,582,0,0.00
48,Andrea Robles,2022,"Ready to wear, Streatwear",Ciudad de México,Online,1910.00,4675,8383,0.00
49,ESKINA-NA,2019,"Slow Fashion, Streatwear",Ciudad de México,Ambos,1900.00,1244,12,0.00
50,CHICANJUKU,2024,"Slow Fashion, Mexican Core","Nezahualcoyotl, Estado de México",Online,930.00,1104,13700,0.00
51,ELA,2019,"Slow Fashion, Girls","Ecatepec, Estado de México",Ambos,1853.00,5762,164,0.00
52,SKVM Violante,2018,Slow Fashion,Ciudad de México,Ambos,2400.00,10300,58,0.00
53,CUCHILLA,2021,Slof Fashion,"Monterrey, Nuevo León",Online,3200.00,829,0,0.00
54,icebladeeeee,2022,Slow Fashion,"Nezahualcoyotl, Estado de México",Ambos,3500.00,6358,0,0.00
55,LOWDEF,2018,Streatweart,Monterrey Nuevo León,Ambos,590.00,3247,4587,0.00
56,Hermanos Koumori,2018,Runnig,Ciudad de México,Ambos,1850.00,46300,491,0.00
57,Mauro Garfias,2008,Custom Merch,Ciudad de México,Ambos,0.00,63100,5062,0.00
58,Madkidz,2020,Streatwear,Monterrey Nuevo León,Ambos,820.00,28700,4555,0.00
59,Eighty Eight,2019,Streatwear,Ciudad de México,Ambos,770.00,3280,4834,0.00
60,SWAF,2023,Streatwear,"Guadalajara, Jalisco",Online,630.00,2334,14900,0.00
61,OVERRATED,2022,Streatwear,"Guadalajara, Jalisco",Ambos,1000.00,35100,158,0.00
62,FATE,2022,Streatwear,Ciudad de México,Online,900.00,85300,4368,0.00
63,PRAYERS,2020,Streatwear,"Guadalajara, Jalisco",Ambos,610.00,29700,1017,0.00
64,BAEZ,2020,Slow Fashion,"Tijuana, Baja California",Online,2350.00,83600,11000,0.00
65,Ignotus Society,2023,Streatwear,Queretaro,Online,803.00,3142,1130,0.00
66,SKILLZ,2023,"Streatwear, Minimalista",Ciudad de México,Online,320.00,1394,477,0.00
67,No Mercy,2019,Streatwear,"Guadalajara, Jalisco",Ambos,580.00,3992,0,0.00
68,BASIX,2021,"Basicos, Streatwear",Colima,Online,1300.00,1666,178700,0.00
69,Hooney Well,2022,Streatwear,Ciudad de México,Ambos,391.00,2016,4256,0.00
70,Cobii Inc,2023,"Streatwear, Minimalista",Ciudad de México,Online,900.00,381,1877,0.00
71,Royal Ghetto,2020,Streatwear,Ciudad de México,Ambos,750.00,2136,70,0.00
72,Infame,2022,"Streatwear, Caps","Guadalajara, Jalisco",Online,900.00,5811,49,0.00
73,Moon Wave,2024,Stretwear,"Manzanillo, Colima",Online,750.00,1958,341,0.00
74,DELIBER,2022,Streatwear,"La piedad, Michoacan",Online,700.00,8760,654,0.00
75,OKEEY,2021,Streatwear,"Ciudad de México, Centro",Ambos,680.00,153000,173900,0.00
76,IMPERIAL BRAND,2024,Streatwear,"Culiacan, Sinaloa",Online,840.00,1113,606,0.00
77,TRA$H,2023,Streatwear,Ciudad de México,Online,783.00,11500,2058,0.00
78,Zennetti,2022,Streatwear,"Tijuana, Baja California",Online,1195.00,15000,9340,0.00
79,PALERMO.LAB,2023,Streatwear,Ciudad de México,Online,900.00,3179,177,0.00
80,Locken,2023,"Streatwear, Slow Fashion",Ciudad de México,Online,790.00,1299,3983,0.00
81,Crime Life,2015,Streatwear,"Guadalajara, Jalisco",Ambos,1603.00,107000,31600,0.00
